Area,Age,Sex,Year at 30 June,Value,Flags
"Thames-Coromandel district","65 years and over","Total people, sex","2008",5900,
"Hauraki district","65 years and over","Total people, sex","2008",3250,
"Hamilton city","65 years and over","Total people, sex","2008",14200,
"Waipa district","65 years and over","Total people, sex","2008",6500,
"Otorohanga district","65 years and over","Total people, sex","2008",1030,
"South Waikato district","65 years and over","Total people, sex","2008",3000,
"Waitomo district","65 years and over","Total people, sex","2008",1140,
"Taupo district","65 years and over","Total people, sex","2008",4800,
"Western Bay of Plenty district","65 years and over","Total people, sex","2008",7300,
"Tauranga city","65 years and over","Total people, sex","2008",19400,
"Tauranga city","65 years and over","Total people, sex","2009",20000,
"Western Bay of Plenty district","65 years and over","Total people, sex","2009",7500,
"Taupo district","65 years and over","Total people, sex","2009",4900,
"Waitomo district","65 years and over","Total people, sex","2009",1160,
"South Waikato district","65 years and over","Total people, sex","2009",3100,
"Otorohanga district","65 years and over","Total people, sex","2009",1080,
"Waipa district","65 years and over","Total people, sex","2009",6700,
"Hamilton city","65 years and over","Total people, sex","2009",14500,
"Hauraki district","65 years and over","Total people, sex","2009",3400,
"Thames-Coromandel district","65 years and over","Total people, sex","2009",6100,
"Matamata-Piako district","65 years and over","Total people, sex","2009",5200,
"Waikato district","65 years and over","Total people, sex","2009",6500,
"Auckland","65 years and over","Total people, sex","2009",145400,
"Franklin local board area","65 years and over","Total people, sex","2009",7500,
"Papakura local board area","65 years and over","Total people, sex","2009",4600,
"Manurewa local board area","65 years and over","Total people, sex","2009",6200,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","2009",6200,
"Howick local board area","65 years and over","Total people, sex","2009",13800,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","2009",5300,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","2010",5400,
"Howick local board area","65 years and over","Total people, sex","2010",14500,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","2010",6300,
"Manurewa local board area","65 years and over","Total people, sex","2010",6400,
"Papakura local board area","65 years and over","Total people, sex","2010",4800,
"Franklin local board area","65 years and over","Total people, sex","2010",7800,
"Auckland","65 years and over","Total people, sex","2010",149900,
"Waikato district","65 years and over","Total people, sex","2010",6800,
"Matamata-Piako district","65 years and over","Total people, sex","2010",5300,
"Thames-Coromandel district","65 years and over","Total people, sex","2010",6300,
"Hauraki district","65 years and over","Total people, sex","2010",3500,
"Hamilton city","65 years and over","Total people, sex","2010",14900,
"Waipa district","65 years and over","Total people, sex","2010",6900,
"Otorohanga district","65 years and over","Total people, sex","2010",1110,
"South Waikato district","65 years and over","Total people, sex","2010",3200,
"Waitomo district","65 years and over","Total people, sex","2010",1170,
"Taupo district","65 years and over","Total people, sex","2010",5100,
"Western Bay of Plenty district","65 years and over","Total people, sex","2010",7800,
"Western Bay of Plenty district","65 years and over","Total people, sex","2011",8100,
"Taupo district","65 years and over","Total people, sex","2011",5300,
"Waitomo district","65 years and over","Total people, sex","2011",1190,
"South Waikato district","65 years and over","Total people, sex","2011",3300,
"Otorohanga district","65 years and over","Total people, sex","2011",1140,
"Waipa district","65 years and over","Total people, sex","2011",7100,
"Hamilton city","65 years and over","Total people, sex","2011",15500,
"Hauraki district","65 years and over","Total people, sex","2011",3650,
"Thames-Coromandel district","65 years and over","Total people, sex","2011",6600,
"Matamata-Piako district","65 years and over","Total people, sex","2011",5400,
"Waikato district","65 years and over","Total people, sex","2011",7100,
"Auckland","65 years and over","Total people, sex","2011",155700,
"Franklin local board area","65 years and over","Total people, sex","2011",8300,
"Papakura local board area","65 years and over","Total people, sex","2011",4900,
"Manurewa local board area","65 years and over","Total people, sex","2011",6600,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","2011",6500,
"Howick local board area","65 years and over","Total people, sex","2011",15100,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","2011",5600,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","2012",5800,
"Howick local board area","65 years and over","Total people, sex","2012",16000,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","2012",6600,
"Manurewa local board area","65 years and over","Total people, sex","2012",6900,
"Papakura local board area","65 years and over","Total people, sex","2012",5200,
"Franklin local board area","65 years and over","Total people, sex","2012",8800,
"Auckland","65 years and over","Total people, sex","2012",162900,
"Waikato district","65 years and over","Total people, sex","2012",7500,
"Matamata-Piako district","65 years and over","Total people, sex","2012",5600,
"Thames-Coromandel district","65 years and over","Total people, sex","2012",6900,
"Hauraki district","65 years and over","Total people, sex","2012",3850,
"Hamilton city","65 years and over","Total people, sex","2012",16200,
"Waipa district","65 years and over","Total people, sex","2012",7400,
"Otorohanga district","65 years and over","Total people, sex","2012",1200,
"South Waikato district","65 years and over","Total people, sex","2012",3500,
"Waitomo district","65 years and over","Total people, sex","2012",1210,
"Taupo district","65 years and over","Total people, sex","2012",5500,
"Western Bay of Plenty district","65 years and over","Total people, sex","2012",8400,
"Western Bay of Plenty district","65 years and over","Total people, sex","2013",8700,
"Taupo district","65 years and over","Total people, sex","2013",5800,
"Waitomo district","65 years and over","Total people, sex","2013",1260,
"South Waikato district","65 years and over","Total people, sex","2013",3600,
"Otorohanga district","65 years and over","Total people, sex","2013",1250,
"Waipa district","65 years and over","Total people, sex","2013",7700,
"Hamilton city","65 years and over","Total people, sex","2013",16800,
"Hauraki district","65 years and over","Total people, sex","2013",4000,
"Thames-Coromandel district","65 years and over","Total people, sex","2013",7300,
